Domain,TLD,URL,Status Code,Response Time (ms),Has HTML,Content Type,Checked At
felixfamilyoffice.com,.com,https://felixfamilyoffice.com/,200,96,yes,text/html;charset=utf-8,2026-09-12T10:57:22.468Z
completeduramaxtuningsolutions.com,.com,https://www.completeduramaxtuningsolutions.com/,200,134,yes,text/html; charset=UTF-8,2026-09-12T10:57:22.682Z
aktuell-hamburg.com,.com,https://aktuell-hamburg.com/,404,226,yes,text/html,2026-09-12T10:57:22.797Z
annkayglobal.com,.com,https://annkayglobal.com/,200,133,yes,text/html,2026-09-12T10:57:22.818Z
affordableservicesut.com,.com,https://affordableservicesut.com/,200,96,yes,text/html;charset=utf-8,2026-09-12T10:57:22.916Z
dljsecurity.com,.com,https://dljsecurity.com/,200,118,yes,text/html;charset=utf-8,2026-09-12T10:57:22.916Z
naramootah.com,.com,https://naramootah.com/yunohost/sso/?r=aHR0cHM6Ly9uYXJhbW9vdGFoLmNvbS8=,200,207,yes,text/html,2026-09-12T10:57:23.163Z
gowithlegal.com,.com,https://gowithlegal.com/,200,133,yes,text/html,2026-09-12T10:57:23.300Z
lifeinsurancebianca.com,.com,https://storied-pithivier-2f8307.netlify.app/,404,250,yes,text/html,2026-09-12T10:57:23.603Z
soberirishatlas.com,.com,https://soberirishatlas.com/,200,465,yes,text/html,2026-09-12T10:57:23.842Z
jojobet10282.com,.com,http://jojobet10282.com/,200,303,yes,text/html,2026-09-12T10:57:23.912Z
novuality.com,.com,https://domains.atom.com/lpd/name/novuality.com,403,114,yes,text/html; charset=UTF-8,2026-09-12T10:57:24.129Z
aladept.com,.com,https://aladept.com/password,200,285,yes,text/html; charset=utf-8,2026-09-12T10:57:24.316Z
myjkenterprises.com,.com,https://www.myjkenterprises.com/,200,95,yes,text/html; charset=utf-8,2026-09-12T10:57:24.317Z
everydayjoeai.com,.com,https://everydayjoeai.com/,200,94,yes,text/html;charset=utf-8,2026-09-12T10:57:24.414Z
8bitheartbeats.com,.com,http://8bitheartbeats.com/,200,255,yes,text/html,2026-09-12T10:57:24.694Z
gravestarot.com,.com,https://www.gravestarot.com/,200,116,yes,text/html; charset=UTF-8,2026-09-12T10:57:24.708Z
artkeis.com,.com,https://artkeis.com/,200,128,yes,text/html,2026-09-12T10:57:24.825Z
lovegoodapp.com,.com,https://lovegoodapp.com/,200,132,yes,text/html; charset=utf-8,2026-09-12T10:57:25.104Z
farkonaintegrated.com,.com,https://farkonaintegrated.com/,200,334,yes,text/html,2026-09-12T10:57:25.162Z
puentefuturoscollective.com,.com,https://puentefuturoscollective.com/,200,460,yes,text/html,2026-09-12T10:57:25.169Z
happytownlife.com,.com,https://happytownlife.com/,200,96,yes,text/html;charset=utf-8,2026-09-12T10:57:25.210Z
acyachina-us.com,.com,https://acyachina-us.com/,403,67,yes,text/html; charset=UTF-8,2026-09-12T10:57:25.253Z
360matchlens.com,.com,https://360matchlens.com/,200,155,yes,text/html; charset=utf-8,2026-09-12T10:57:25.273Z
